profile_id,profile_name,identity_id,first_name,last_name,nickname,birth_year,email_address,phone_number,street_number,street_name,city,state,country,zip_code
0842cf9a-1403-465a-a7ea-3fee861d8827,Chester Roberts,cbe36859-91a7-4890-829e-91d3dea14b70,Chester,Roberts,chet,1988,chetroberts1988@hotmail.com,8316217401,3802,Bollinger Rd,Boise,South Carolina,United States,41895
0842cf9a-1403-465a-a7ea-3fee861d8827,Chester Roberts,ee65444e-07b2-466d-948e-3b4c9418e023,Chester,Roberts,chet,1988,chetroberts1988@hotmail.com,8316217401,3802,Bollinger Rd,Boise,South Carolina,United States,41895
0842cf9a-1403-465a-a7ea-3fee861d8827,Chester Roberts,29e996a0-f67d-4498-aaaa-2a390a01cbcb,Chester,Roberts,chet,1988,chetroberts1988@hotmail.com,8316217401,3802,Bollinger Rd,Boise,South Carolina,United States,41895
0842cf9a-1403-465a-a7ea-3fee861d8827,Chester Roberts,69697e29-d7d5-412c-90b2-e82ee69a96f9,Chester,Roberts,chet,1988,chetroberts1988@hotmail.com,8316217401,3802,Bollinger Rd,Boise,South Carolina,United States,41895
0842cf9a-1403-465a-a7ea-3fee861d8827,Chester Roberts,f2bf0ee7-e3aa-476c-b645-8fa3360979bb,Chester,Roberts,chet,1988,chetroberts1988@hotmail.com,8316217401,3802,Bollinger Rd,Boise,South Carolina,United States,41895
0842cf9a-1403-465a-a7ea-3fee861d8827,Chester Roberts,be84f16b-47a3-4a6b-bdd9-d9e1a5e60df2,Chester,Roberts,chet,1988,chetroberts1988@hotmail.com,8316217401,3802,Bollinger Rd,Boise,South Carolina,United States,41895
0842cf9a-1403-465a-a7ea-3fee861d8827,Chester Roberts,afc08a37-6823-40c1-bb4d-1a713775b0ea,Chester,Roberts,chet,1988,chetroberts1988@hotmail.com,8316217401,3802,Bollinger Rd,Boise,South Carolina,United States,41895
0842cf9a-1403-465a-a7ea-3fee861d8827,Chester Roberts,81025d9c-3633-433a-8057-35932c13baef,Chester,Roberts,chet,1988,chetroberts1988@hotmail.com,8316217401,3802,Bollinger Rd,Boise,South Carolina,United States,41895
0842cf9a-1403-465a-a7ea-3fee861d8827,Chester Roberts,118af20d-38e8-4bfb-8641-616b0288d9fe,Chester,Roberts,chet,1988,chetroberts1988@hotmail.com,8316217401,3802,Bollinger Rd,Boise,South Carolina,United States,41895
0842cf9a-1403-465a-a7ea-3fee861d8827,Chester Roberts,80c9e212-a805-4617-affc-23acd4420f0c,Chester,Roberts,chet,1988,chetroberts1988@hotmail.com,8316217401,3802,Bollinger Rd,Boise,South Carolina,United States,41895
0842cf9a-1403-465a-a7ea-3fee861d8827,Chester Roberts,cf3ad0f1-652f-4b29-b787-eeb4351d24f8,Chester,Roberts,chet,1988,chetroberts1988@hotmail.com,831621s7401,3802,Bollinger Rd,Boise,South Carolina,United States,41895
da38ef60-1c1b-4b75-b94a-953ae131a741,Audrey Richardson,9f842827-9dd9-488c-a402-0996601fdba1,Audrey,Richardson,audree,2000,audreyr00@gmail.com,4306424868,316,Marsh Ln,Utica,Washington,United States,80979
da38ef60-1c1b-4b75-b94a-953ae131a741,Audrey Richardson,b716b043-79ad-4b8a-99f7-4ef063fe2673,Audrey,Richardson,audree,2000,audreyr00@gmail.com,4306424868,316,Marsh Ln,Utica,Washington,United States,80979
da38ef60-1c1b-4b75-b94a-953ae131a741,Audrey Richardson,cbe3a1fd-65d9-4ca6-b12b-909d142f9080,Audrey,Richardson,audree,2000,audreyr00@gmail.com,4036424868,316,Marsh Ln,Utica,Washington,United States,80979
